Lenovo|IP Flex 3 Chrome 11IJL6|82N3|Notebook|0.3|1.3|3.3|11.3|04/26/2021|
DELL|P137G|Latitude 5421|Notebook|1.1|1.1|4.8|16.2|04/26/2021|
DELL|P104F|Latitude 5521|Notebook|1.5|1.5|8.5|26.2|04/26/2021|
Acer|N19W3|SP513-41N|Notebook|0.4|0.4|4.1|13.2|04/27/2021|
DELL|P107F|Inspiron 16 7610|Notebook|0.8|0.8|6.1|20.3|04/23/2021|
REDFOX|OPTIMA Notebook|OPTIMA WO-5CI7IP|Notebook|0.5|2.5|5.3|18.3|04/23/2021|
REDFOX|OPTIMA Notebook|OPTIMA WO-5CN73P|Notebook|0.5|2.5|5.3|18.3|04/23/2021|
REDFOX|OPTIMA Notebook|OPTIMA WO-5KI5P|Notebook|0.5|2.5|5.3|18.3|04/23/2021|
REDFOX|OPTIMA Notebook|OPTIMA WO-5CMI7P|Notebook|0.5|2.5|5.3|18.3|04/23/2021|
ASUS|CX1500CN Series|CX1500CN|Notebook|0.3|1|3.9|12.6|04/23/2021|
MSI|MS-14DL|Modern 14 B5M|Notebook|1.2|1.2|6.9|24|04/21/2021|
MSI|MS-1543|GE66 Raider 11UH|Notebook|2.2|10.8|17.3|66.1|05/24/2021|
